Demand,Entities In Part 1,Part 1 VA Time,Drilling Queue Time,Part 1 Storage Time,Part 1 Stored,Entities In Part 2,Part 2 VA Time,Milling Queue Time,Part 2 Storage Time,Part 2 Stored,Entities Out,Assembly Time,Assembly Queue Time,Drilling Utilization,Milling Utilization,Assembly Utilization
9,5677,2.998744,0.04874,35.341335,433,5257,2.996947,0.009165,8.048214,13,5244,2.996366,0.239247,0.392803,0.273526,0.546117
14,9730,2.996054,1.045646,24.699138,304,9898,2.999336,0.324037,66.141226,472,9426,3.007082,2.771477,0.674806,0.514987,0.985519
16,5656,2.997236,0.074673,0.237385,21,6088,2.988255,0.010939,56.295513,453,5635,3.001099,0.42699,0.392134,0.315838,0.588224
13,6705,2.999964,0.203375,19.902033,369,6336,3.003804,0.011318,5.542728,0,6336,3.003315,0.725906,0.465466,0.330418,0.660729
15,10010,3.001397,1.246123,35.378561,623,9898,3.003159,0.258628,30.806192,511,9387,2.999606,2.835647,0.695056,0.516064,0.978842
3,2301,3.007158,0,3.249643,48,2262,3.001732,0,15.845291,9,2253,2.982956,0.001128,0.160161,0.117881,0.233933
13,9607,3.000355,0.742559,60.690001,457,9360,2.999404,0.29526,8.137791,210,9150,2.999467,2.4892,0.667232,0.487323,0.953792
4,2860,2.997501,0.000118,0.111943,17,2928,3.00728,0,47.353447,85,2843,2.998926,0.007253,0.19783,0.152476,0.296148
10,6489,3.000376,0.141979,22.784405,324,6219,2.989765,0.025051,1.342304,54,6165,2.995438,0.622736,0.450681,0.322317,0.641904
13,2868,3.00149,0.000193,1.137204,16,2900,2.991134,0,29.049308,48,2852,3.000825,0.008323,0.199259,0.150466,0.29754
11,10860,2.999533,1.877193,63.109803,1351,10305,2.999835,0.35886,48.651328,796,9509,3.00594,2.928801,0.750336,0.535782,0.99347
5,3475,2.989087,0.000042,0.087577,16,3815,2.993564,0.00012,48.826363,356,3459,3.009632,0.020328,0.240035,0.198139,0.361638
14,2908,3.004464,0,7.157588,4,2916,2.995139,0,9.601022,12,2904,2.988779,0.00198,0.202245,0.151629,0.301534
18,8052,3.004879,0.29372,40.29446,595,7458,2.989378,0.0433,2.130415,1,7457,2.996724,1.066749,0.559452,0.387062,0.776025
11,10164,3.003862,1.467536,40.356689,792,10094,3.001626,0.339088,49.192121,722,9372,2.999434,2.758715,0.705488,0.525736,0.977011
2,5816,3.00172,0.075532,15.484732,65,5792,3.003941,0.014659,8.385615,41,5751,2.993513,0.422792,0.403758,0.301312,0.59844
