Demand,Total parts,Parts per hour,VA Time,Drilling Waiting Time,Milling Waiting Time,Assembly Waiting Time,Drilling Util,Milling Util,Assembly Util,,,,,,,,,,,,
14,3312,138,8.993716,0.543663,0.000023,2.357629,0.459665,0.345232,0.688019,,,,,,,,,,,,
10,5376,224,9.002039,3.622055,0.000075,120.647136,0.744554,0.559495,0.988792,,,,,,,,,,,,
14,9380,391,9.002428,192.793219,0.000052,240.30315,0.998561,0.746426,0.995976,,,,,,,,,,,,
14,4780,199,8.992627,1.680043,0,32.758098,0.663116,0.495284,0.968205,,,,,,,,,,,,
14,7098,296,9.017667,15.518848,0.000062,185.180248,0.946176,0.70882,0.994897,,,,,,,,,,,,
18,7776,324,8.992515,52.019954,0.000225,238.177683,0.999999,0.747853,0.995976,,,,,,,,,,,,
10,2470,103,8.989609,0.111271,0,0.435048,0.341166,0.25663,0.513063,,,,,,,,,,,,
7,4430,185,8.995827,1.447998,0.000043,8.858585,0.61185,0.455784,0.907043,,,,,,,,,,,,
8,3360,140,9.006381,0.370432,0,1.415096,0.466576,0.349693,0.695851,,,,,,,,,,,,
16,5423,226,8.997648,3.218267,0.000031,69.315733,0.753193,0.564043,0.995964,,,,,,,,,,,,
8,3760,157,8.998063,0.70759,0.000006,2.213333,0.521313,0.391434,0.778221,,,,,,,,,,,,
8,3968,165,8.988611,0.827175,0.000042,4.682688,0.550368,0.410763,0.818683,,,,,,,,,,,,
12,5916,247,9.010251,4.531117,0.000053,125.284507,0.818518,0.614399,0.991831,,,,,,,,,,,,
14,1880,78,8.999938,0.005949,0,0.081778,0.260837,0.195404,0.390673,,,,,,,,,,,,
13,5928,247,8.989924,6.280852,0.000026,171.869394,0.820622,0.612635,0.994253,,,,,,,,,,,,
9,4761,198,9.00345,1.51736,0.000183,19.46692,0.660283,0.493507,0.966198,,,,,,,,,,,,
2,7973,332,9.009155,71.311009,0.000013,237.319029,0.998359,0.744947,0.995735,,,,,,,,,,,,
8,4064,169,8.997259,0.814063,0.000009,4.484148,0.563716,0.421685,0.833619,,,,,,,,,,,,
14,7776,324,8.999397,61.65772,0.000046,233.153729,0.994171,0.742496,0.991519,,,,,,,,,,,,
10,4780,199,8.997416,1.607289,0,20.735221,0.663434,0.495384,0.953122,,,,,,,,,,,,
5,2285,95,9.010764,0.088014,0,0.375817,0.317743,0.237378,0.475093,,,,,,,,,,,,
